year,labs
2012.4131613871098, 27.387017666783443
2012.5290423710885, 27.762263038775725
2012.6738936010618, 28.173246065243465
2012.7608043390455, 28.51275378276029
2012.8766853230243, 28.86119591389598
2012.9925663070028, 29.23644128588826
2013.1084472909815, 29.61168665788054
2013.22432827496, 29.986932029872825
2013.3498660076036, 30.335374161008513
2013.4560902429173, 30.710619533000795
2013.571971226896, 31.085864904993077
2013.6878522108746, 31.46111027698536
2013.8327034408478, 31.889962130690822
2014.064465408805, 32.23840426182652
2014.3541678687516, 32.560043152105614
2014.643870328698, 32.89240333872735
2014.9335727886446, 33.22476352534908
2015.1653347566019, 33.57856630465609
2015.3391562325698, 33.935942849410644
2015.5129777085376, 34.293319394165195
2015.6867991845056, 34.65069593891975
2015.8606206604736, 35.01700689729317
2016.0344421364414, 35.37438344204772
